campus_name,alamat,kota
Universitas Bondowoso,"Jl. Diponegoro No. 247 Kelurahan Kotakulon, Kecamatan Kota Bondowoso, Kab. Bondowoso",Bondowoso
Institut Teknologi Dan Bisnis Sumatera Utara,Jl. Karya No. 183 Kelurahan Karang Berombak,Nan
Stak Oikumene Noseni Biak Numfor,,Nan
Stit Muhammadiyah Pacitan,Jl. Gajah Mada 20 Pacitan,Nan
Akademi Kebidanan Ngudia Husada Madura,Jalan Re Martadinata No. 45 Bangkalan,Nan
Stai Ahsanta Jambi,"Jln. Prof. Dr. Sumanteri Brojonegoro Kompleks Setya Negara, Sipin, Jambi",Nan
Politeknik Bosowa,Jl. Kapasa Raya No.17 Makassar,Makassar
Universitas Siber Muhammadiyah,Jl. Hos Cokroaminoto No. 17 Pakuncen Wirobrajan,Yogyakarta
Sekolah Tinggi Ilmu Al-Qur'An Al-Lathifiyyah Palembang Sumatera Selatan,-,Palembang
Iain Langsa,-,Langsa
Universitas Sulawesi Tenggara,Jalan Piere Tendean No 109 A,Konawe Selatan
Sekolah Tinggi Ilmu Pertanian Amuntai,Jalan Bihman Villa No.7B Amuntai Kabupaten Hulu Sungai Utara Propinsi Kalimantan,Hulu Sungai Utara
Sekolah Tinggi Agama Kristen Oikumene Timika,Nan,Donggala
Stai Hasan Jufri Bawean,Kebunagung Lebak Sangkapura,Gresik
Stikes Yogyakarta,Jln. Nitikan Baru No. 69 Yogyakarta,Yogyakarta
Akademi Keperawatan Intan Martapura,Jl. Samadi No. 01 Rt.01 Rw.01 Kel. Jawa Kec. Martapura Kota Kab. Banjar Kalima,Nan
Sekolah Tinggi Arsitektur Ykpn Yogyakarta,"Jl. Gagak Rimang No.1, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta
Universitas Azzahra,"Jl Jatinegara Barat No 144 Kel. Kampung Melayu Kec.Jatinegara, Jakarta Timur",Nan
Universitas Sains Dan Teknologi Indonesia,Nan,Nan
Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,Jl. Roviega No. 29 Kel. Tondo Kec. Mantikulore,Tual
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Seram Raya,Nan,Seram Bagian Barat
Sekolah Tinggi Islam Sunniyyah Selo Grobogan,"Jl. Makam Ki Ageng, Selokrajan, Desa Seo, Kecamatan Tawangharjo, Kabupaten Grobogan, Provinsi Jawa Tengah",Grobogan
Universitas Muhammadiyah Maluku,Nan,Ambon
Sekolah Tinggi Ilmu Ekonomi Patria Artha,"Jl Boulevard, Jascinth I No 1 Panakukkang Mas",Nan
Stisip Tasikmalaya,Jalan Gunung Pongpok Iii No 29,Nan
Akademi Kebidanan Sentral Padang Sidempuan,Jl Tandang Mulia Hrp No 1 Komp Sidimpuan Baru Kelurahan Silandit Kota Padangs,Padangsidimpuan
Stit Insan Kamil Bogor Jawa Barat,Jl. R. Aria Surialaga Batutapak,Bogor
Institut Agama Islam Muhammadiyah Bima,"Jln. Anggrek Nomor: 16 Ranggo Nae, Rasanae Barat",Bima
Akademi Keperawatan Yappi Sragen,Jalan Kh Agus Salim No 50,Sragen
Sekolah Tinggi Teknologi Muhammadiyah Cileungsi,Jl Anggrek No 86 Perum Ptsc,Bogor
Stt Advent Papua,"Jalan Sentani - Depapre, Doyo Baru, Sentani, Papua",Nan
Politeknik Aceh Selatan,"Jl. Merdeka Komplek Reklamasi Pantai Kota Tapaktuan, Kabupaten Aceh Selatan",Aceh Selatan
